"country","iso3c","genus_cat","Exports","Imports","Reexports","perc_imp_reexport","perc_exports_reexport"
"Turks and Caicos Is.","TCA","Crustaceans",34,181,0,0,0
"Turks and Caicos Is.","TCA","Moluscs; Other",89,146,0,0,0
"Tuvalu","TUV","Marine Fish; Other",2,9,0,0,0
"Tuvalu","TUV","Pelagic Fish",3430,25,0,0,0
"Uganda","UGA","Freshwater Fish",33839,540,0,0,0
"Ukraine","UKR","Aquatic Animals; Others",2,86,0,0,0
"Ukraine","UKR","Cephalopods",12,2660,0,0,0
"Ukraine","UKR","Crustaceans",35,3877,0,0,0
"Ukraine","UKR","Demersal Fish",2724,73687,0,0,0
"Ukraine","UKR","Freshwater Fish",4732,38354,0,0,0
"Ukraine","UKR","Marine Fish; Other",1452,40243,0,0,0
"Ukraine","UKR","Moluscs; Other",220,5037,0,0,0
"Ukraine","UKR","Pelagic Fish",4300,179153,0,0,0
"United Kingdom","GBR","Aquatic Animals; Others",8282,3942,0,0,0
"United Kingdom","GBR","Cephalopods",16556,13581,0,0,0
"United Kingdom","GBR","Crustaceans",52914,88376,0,0,0
"United Kingdom","GBR","Demersal Fish",191291,431726,0,0,0
"United Kingdom","GBR","Freshwater Fish",141557,148339,0,0,0
"United Kingdom","GBR","Marine Fish; Other",95494,65294,0,0,0
"United Kingdom","GBR","Moluscs; Other",23829,7642,0,0,0
"United Kingdom","GBR","Pelagic Fish",371225,245748,0,0,0
"United States of America","USA","Aquatic Animals; Others",6795,17841,0,0,0
"United States of America","USA","Cephalopods",74785,102672,0,0,0
"United States of America","USA","Crustaceans",83200,854083,0,0,0
"United States of America","USA","Demersal Fish",967226,465621,0,0,0
"United States of America","USA","Freshwater Fish",312479,1204791,0,0,0
"United States of America","USA","Marine Fish; Other",182577,306611,0,0,0
"United States of America","USA","Moluscs; Other",23475,96090,0,0,0
"United States of America","USA","Pelagic Fish",246205,515468,0,0,0
"Uruguay","URY","Cephalopods",350,757,0,0,0
"Uruguay","URY","Crustaceans",309,489,0,0,0
"Uruguay","URY","Demersal Fish",38832,8332,0,0,0
"Uruguay","URY","Freshwater Fish",3966,4010,0,0,0
"Uruguay","URY","Marine Fish; Other",9947,454,0,0,0
"Uruguay","URY","Pelagic Fish",816,4311,0,0,0
"Uzbekistan","UZB","Freshwater Fish",177,236,0,0,0
"Uzbekistan","UZB","Marine Fish; Other",311,472,0,0,0
"Vanuatu","VUT","Aquatic Animals; Others",32,NA,0,NA,0
"Vanuatu","VUT","Cephalopods",2735,10,0,0,0
"Vanuatu","VUT","Demersal Fish",1098,6,0,0,0
"Vanuatu","VUT","Marine Fish; Other",1393,474,0,0,0
"Vanuatu","VUT","Moluscs; Other",1,12,0,0,0
"Vanuatu","VUT","Pelagic Fish",22369,1617,0,0,0
"Venezuela, Boliv Rep of","VEN","Aquatic Animals; Others",1180,NA,0,NA,0
"Venezuela, Boliv Rep of","VEN","Crustaceans",31413,299,0,0,0
"Venezuela, Boliv Rep of","VEN","Demersal Fish",137,117,0,0,0
"Venezuela, Boliv Rep of","VEN","Freshwater Fish",238,409,0,0,0
"Venezuela, Boliv Rep of","VEN","Marine Fish; Other",98,1522,0,0,0
"Viet Nam","VNM","Aquatic Animals; Others",2728,1982,0,0,0
"Viet Nam","VNM","Cephalopods",108871,13749,0,0,0
"Viet Nam","VNM","Crustaceans",409032,55007,0,0,0
"Viet Nam","VNM","Demersal Fish",15507,19288,0,0,0
"Viet Nam","VNM","Freshwater Fish",1212771,64160,0,0,0
"Viet Nam","VNM","Marine Fish; Other",302768,113540,0,0,0
"Viet Nam","VNM","Moluscs; Other",17551,4365,0,0,0
"Viet Nam","VNM","Pelagic Fish",362964,366184,0,0,0
